Break,Pause,
Working Time,Arbeitszeit,
Project Time,Projektzeit,
Please fix negative duration in row {0},Bitte negative Dauer in Zeile {0} korrigieren,
Please add issue key or note in row {0},Bitte Schlüssel oder Anmerkung in Zeile {0} eintragen,
Total Working Time,Summe Arbeitszeit,
Total Project Time,Summe Projektzeit,
Total Break Time,Summe Pausenzeit,
Working Time Summary,Arbeitszeit Zusammenfassung,
Expected Working Time,Erwartete Arbeitszeit,
Actual Working Time,Tatsächliche Arbeitszeit,
Not Plausible,Nicht Plausibel,
Daily Working Time,Tägliche Arbeitszeit,
Expected and Actual Working Time,Erwartete und Tatsächliche Arbeitszeit,
Billing Time Ratio,Anteil abrechenbar,
Daily Break Time,Tägliche Pausenzeit,
Only submitted working times are considered in this table.,Nur gebuchte Arbeitszeiten werden in dieser Tabelle berücksichtigt.,
The data is cached and updated every 8 hours.,Die Daten werden gecached und alle 8 Stunden aktualisiert.,
